x,sin_x,ann_x
-2.05,0.818277,-0.034042
-2.025,0.788525,-0.0337162
-2,0.756802,-0.0333871
-1.975,0.723188,-0.0330549
-1.95,0.687766,-0.0327196
-1.925,0.650625,-0.0323812
-1.9,0.611858,-0.0320397
-1.875,0.571561,-0.0316952
-1.85,0.529836,-0.0313477
-1.825,0.486787,-0.0309973
-1.8,0.44252,-0.0306439
-1.775,0.397148,-0.0302877
-1.75,0.350783,-0.0299287
-1.725,0.303542,-0.0295668
-1.7,0.255541,-0.0292021
-1.675,0.206902,-0.0288348
-1.65,0.157746,-0.0284647
-1.625,0.108195,-0.0280919
-1.6,0.0583741,-0.0277166
-1.575,0.00840725,-0.0273386
-1.55,-0.0415807,-0.0269582
-1.525,-0.0914646,-0.0265751
-1.5,-0.14112,-0.0261897
-1.475,-0.190423,-0.0258018
-1.45,-0.239249,-0.0254114
-1.425,-0.287478,-0.0250188
-1.4,-0.334988,-0.0246238
-1.375,-0.381661,-0.0242265
-1.35,-0.42738,-0.023827
-1.325,-0.472031,-0.0234252
-1.3,-0.515501,-0.0230213
-1.275,-0.557684,-0.0226153
-1.25,-0.598472,-0.0222072
-1.225,-0.637765,-0.021797
-1.2,-0.675463,-0.0213848
-1.175,-0.711473,-0.0209706
-1.15,-0.745705,-0.0205545
-1.125,-0.778073,-0.0201365
-1.1,-0.808496,-0.0197167
-1.075,-0.836899,-0.019295
-1.05,-0.863209,-0.0188715
-1.025,-0.887362,-0.0184463
-1,-0.909297,-0.0180195
-0.975,-0.92896,-0.0175909
-0.95,-0.9463,-0.0171608
-0.925,-0.961275,-0.016729
-0.9,-0.973848,-0.0162958
-0.875,-0.983986,-0.015861
-0.85,-0.991665,-0.0154248
-0.825,-0.996865,-0.0149871
-0.8,-0.999574,-0.0145481
-0.775,-0.999784,-0.0141077
-0.75,-0.997495,-0.0136661
-0.725,-0.992713,-0.0132232
-0.7,-0.98545,-0.0127791
-0.675,-0.975723,-0.0123338
-0.65,-0.963558,-0.0118874
-0.625,-0.948985,-0.0114399
-0.6,-0.932039,-0.0109913
-0.575,-0.912764,-0.0105418
-0.55,-0.891207,-0.0100912
-0.525,-0.867423,-0.00963979
-0.5,-0.841471,-0.00918746
-0.475,-0.813416,-0.00873429
-0.45,-0.783327,-0.00828031
-0.425,-0.75128,-0.00782558
-0.4,-0.717356,-0.00737014
-0.375,-0.681639,-0.00691401
-0.35,-0.644218,-0.00645726
-0.325,-0.605186,-0.00599991
-0.3,-0.564642,-0.00554201
-0.275,-0.522687,-0.0050836
-0.25,-0.479426,-0.00462473
-0.225,-0.434966,-0.00416543
-0.2,-0.389418,-0.00370575
-0.175,-0.342898,-0.00324572
-0.15,-0.29552,-0.0027854
-0.125,-0.247404,-0.00232482
-0.1,-0.198669,-0.00186402
-0.075,-0.149438,-0.00140306
-0.05,-0.0998334,-0.000941954
-0.025,-0.0499792,-0.000480762
1.10405e-13,2.20809e-13,-1.95229e-05
0.025,0.0499792,0.000441723
0.05,0.0998334,0.000902932
0.075,0.149438,0.00136406
0.1,0.198669,0.00182508
0.125,0.247404,0.00228593
0.15,0.29552,0.00274657
0.175,0.342898,0.00320697
0.2,0.389418,0.00366709
0.225,0.434966,0.00412687
